epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,358.114,0.59244,0.47313,0.9669,0.93192,0.93333,0.96022,0.8162,0.65317,0.51756,0.83681,0.0013087,0.0013087,0.0013087
89,362.167,0.54004,0.43282,0.93758,0.93476,0.95542,0.96119,0.81428,0.64998,0.56293,0.8294,0.0012088,0.0012088,0.0012088
90,366.839,0.53866,0.44918,0.94489,0.9353,0.96379,0.96122,0.81458,0.65557,0.51468,0.83204,0.0011089,0.0011089,0.0011089
91,402.181,0.45156,0.39074,0.89425,0.97555,0.96667,0.96699,0.83525,0.64927,0.50556,0.82252,0.001009,0.001009,0.001009
92,406.013,0.4737,0.3783,0.91676,0.99705,0.96667,0.96719,0.82137,0.6893,0.47734,0.84505,0.0009091,0.0009091,0.0009091
93,409.834,0.44145,0.34628,0.88273,1,0.96489,0.96761,0.82265,0.71541,0.51014,0.87337,0.0008092,0.0008092,0.0008092
94,413.829,0.42267,0.34493,0.87721,0.96416,0.96667,0.96524,0.8184,0.71436,0.49584,0.88544,0.0007093,0.0007093,0.0007093
95,417.616,0.4361,0.34706,0.89946,0.99059,0.96667,0.96862,0.8211,0.69302,0.49303,0.86394,0.0006094,0.0006094,0.0006094
96,421.646,0.40524,0.31765,0.86659,0.9571,0.96667,0.9665,0.8276,0.64783,0.46736,0.82177,0.0005095,0.0005095,0.0005095
97,425.387,0.4294,0.33633,0.88694,0.95298,0.96667,0.96545,0.83832,0.62436,0.48752,0.813,0.0004096,0.0004096,0.0004096
98,429.15,0.40075,0.31955,0.87578,0.96641,0.95926,0.96548,0.84665,0.61444,0.48123,0.80535,0.0003097,0.0003097,0.0003097
99,432.984,0.40075,0.33012,0.89176,0.94812,0.96667,0.96671,0.84619,0.61399,0.48168,0.80242,0.0002098,0.0002098,0.0002098
100,436.968,0.39121,0.30202,0.86347,0.99349,0.96667,0.96928,0.8459,0.60748,0.46451,0.79839,0.0001099,0.0001099,0.0001099
